Date,City,Team1,Team2,Venue,Winner
2011-05-10,Hyderabad,Deccan Chargers,Pune Warriors,"Rajiv Gandhi International Stadium, Uppal",Pune Warriors
2011-05-10,Chandigarh,Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
2011-05-11,Jaipur,Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,Royal Challengers Bangalore
2011-05-12,Chennai,Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
2011-05-13,Indore,Kochi Tuskers Kerala,Kings XI Punjab,Holkar Cricket Stadium,Kings XI Punjab
2011-05-14,Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,Royal Challengers Bangalore
2011-05-14,Mumbai,Mumbai Indians,Deccan Chargers,Wankhede Stadium,Deccan Chargers
2011-05-15,Dharamsala,Kings XI Punjab,Delhi Daredevils,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab
2011-05-15,Indore,Kochi Tuskers Kerala,Rajasthan Royals,Holkar Cricket Stadium,Kochi Tuskers Kerala
2011-05-16,Mumbai,Pune Warriors,Deccan Chargers,Dr DY Patil Sports Academy,Deccan Chargers
2011-05-17,Dharamsala,Kings XI Punjab,Royal Challengers Bangalore,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab
2011-05-18,Chennai,Chennai Super Kings,Kochi Tuskers Kerala,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
2011-05-19,Mumbai,Pune Warriors,Kolkata Knight Riders,Dr DY Patil Sports Academy,Kolkata Knight Riders
2011-05-20,Mumbai,Mumbai Indians,Rajasthan Royals,Wankhede Stadium,Rajasthan Royals
2011-05-21,Dharamsala,Kings XI Punjab,Deccan Chargers,Himachal Pradesh Cricket Association Stadium,Deccan Chargers
2011-05-21,Delhi,Delhi Daredevils,Pune Warriors,Feroz Shah Kotla,No Result
2011-05-22,Bangalore,Royal Challengers Bangalore,Chennai Super Kings,M Chinnaswamy Stadium,Royal Challengers Bangalore
2011-05-22,Kolkata,Kolkata Knight Riders,Mumbai Indians,Eden Gardens,Mumbai Indians
2011-05-24,Mumbai,Royal Challengers Bangalore,Chennai Super Kings,Wankhede Stadium,Chennai Super Kings
2011-05-25,Mumbai,Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,Mumbai Indians
2011-05-27,Chennai,Royal Challengers Bangalore,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore
2011-05-28,Chennai,Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
2012-04-04,Chennai,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Mumbai Indians
2012-04-05,Kolkata,Kolkata Knight Riders,Delhi Daredevils,Eden Gardens,Delhi Daredevils
2012-04-06,Mumbai,Mumbai Indians,Pune Warriors,Wankhede Stadium,Pune Warriors
2012-04-06,Jaipur,Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium,Rajasthan Royals
2012-04-07,Bangalore,Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,Royal Challengers Bangalore
2012-04-07,Visakhapatnam,Deccan Chargers,Chennai Super Kings,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Chennai Super Kings
2012-04-08,Jaipur,Rajasthan Royals,Kolkata Knight Riders,Sawai Mansingh Stadium,Rajasthan Royals
2012-04-08,Pune,Pune Warriors,Kings XI Punjab,Subrata Roy Sahara Stadium,Pune Warriors
2012-04-09,Visakhapatnam,Deccan Chargers,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Mumbai Indians
2012-04-10,Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,Kolkata Knight Riders
2012-04-10,Delhi,Delhi Daredevils,Chennai Super Kings,Feroz Shah Kotla,Delhi Daredevils
2012-04-11,Mumbai,Mumbai Indians,Rajasthan Royals,Wankhede Stadium,Mumbai Indians
2012-04-12,Chennai,Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
2012-04-12,Chandigarh,Kings XI Punjab,Pune Warriors,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
2012-04-13,Kolkata,Kolkata Knight Riders,Rajasthan Royals,Eden Gardens,Kolkata Knight Riders
2012-04-19,Delhi,Delhi Daredevils,Deccan Chargers,Feroz Shah Kotla,Delhi Daredevils
2012-04-14,Pune,Pune Warriors,Chennai Super Kings,Subrata Roy Sahara Stadium,Pune Warriors
2012-04-15,Kolkata,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Kings XI Punjab
2012-04-15,Bangalore,Royal Challengers Bangalore,Rajasthan Royals,M Chinnaswamy Stadium,Rajasthan Royals
2012-04-16,Mumbai,Mumbai Indians,Delhi Daredevils,Wankhede Stadium,Delhi Daredevils
2012-04-17,Jaipur,Rajasthan Royals,Deccan Chargers,Sawai Mansingh Stadium,Rajasthan Royals
2012-04-17,Bangalore,Royal Challengers Bangalore,Pune Warriors,M Chinnaswamy Stadium,Royal Challengers Bangalore
2012-04-18,Chandigarh,Kings XI Punjab,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",Kolkata Knight Riders
2012-05-10,Hyderabad,Deccan Chargers,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",Delhi Daredevils
2012-04-19,Chennai,Chennai Super Kings,Pune Warriors,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
2012-04-20,Chandigarh,Kings XI Punjab,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",Royal Challengers Bangalore
2012-04-21,Chennai,Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
2012-04-21,Delhi,Delhi Daredevils,Pune Warriors,Feroz Shah Kotla,Pune Warriors
2012-04-22,Mumbai,Mumbai Indians,Kings XI Punjab,Wankhede Stadium,Kings XI Punjab
2012-04-22,Cuttack,Deccan Chargers,Kolkata Knight Riders,Barabati Stadium,Kolkata Knight Riders
2012-04-23,Jaipur,Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,Royal Challengers Bangalore
2012-04-24,Pune,Pune Warriors,Delhi Daredevils,Subrata Roy Sahara Stadium,Delhi Daredevils
2012-04-25,Chandigarh,Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians
2012-04-26,Pune,Pune Warriors,Deccan Chargers,Subrata Roy Sahara Stadium,Deccan Chargers
2012-04-27,Delhi,Delhi Daredevils,Mumbai Indians,Feroz Shah Kotla,Delhi Daredevils
2012-04-28,Chennai,Chennai Super Kings,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk",Kings XI Punjab
2012-04-28,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,Kolkata Knight Riders
2012-04-29,Delhi,Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla,Delhi Daredevils
2012-04-29,Mumbai,Mumbai Indians,Deccan Chargers,Wankhede Stadium,Mumbai Indians
2012-04-30,Chennai,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",Kolkata Knight Riders
2012-05-01,Cuttack,Deccan Chargers,Pune Warriors,Barabati Stadium,Deccan Chargers
2012-05-01,Jaipur,Rajasthan Royals,Delhi Daredevils,Sawai Mansingh Stadium,Delhi Daredevils
2012-05-02,Bangalore,Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,Kings XI Punjab
2012-05-03,Pune,Pune Warriors,Mumbai Indians,Subrata Roy Sahara Stadium,Mumbai Indians
2012-05-04,Chennai,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
2012-05-05,Kolkata,Kolkata Knight Riders,Pune Warriors,Eden Gardens,Kolkata Knight Riders
2012-05-05,Chandigarh,Kings XI Punjab,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Rajasthan Royals
2012-05-06,Mumbai,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,Mumbai Indians
2012-05-06,Bangalore,Royal Challengers Bangalore,Deccan Chargers,M Chinnaswamy Stadium,Royal Challengers Bangalore
2012-05-07,Delhi,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,Kolkata Knight Riders
2012-05-08,Pune,Pune Warriors,Rajasthan Royals,Subrata Roy Sahara Stadium,Rajasthan Royals
2012-05-08,Hyderabad,Deccan Chargers,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",Kings XI Punjab
2012-05-09,Mumbai,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,Royal Challengers Bangalore
2012-05-10,Jaipur,Rajasthan Royals,Chennai Super Kings,Sawai Mansingh Stadium,Chennai Super Kings
2012-05-11,Pune,Pune Warriors,Royal Challengers Bangalore,Subrata Roy Sahara Stadium,Royal Challengers Bangalore
2012-05-12,Kolkata,Kolkata Knight Riders,Mumbai Indians,Eden Gardens,Mumbai Indians
2012-05-12,Chennai,Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
2012-05-13,Jaipur,Rajasthan Royals,Pune Warriors,Sawai Mansingh Stadium,Rajasthan Royals
2012-05-13,Chandigarh,Kings XI Punjab,Deccan Chargers,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
2012-05-14,Bangalore,Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium,Mumbai Indians
2012-05-14,Kolkata,Kolkata Knight Riders,Chennai Super Kings,Eden Gardens,Chennai Super Kings
2012-05-15,Delhi,Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,Delhi Daredevils
2012-05-16,Mumbai,Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,Kolkata Knight Riders
2012-05-17,Dharamsala,Kings XI Punjab,Chennai Super Kings,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab
2012-05-17,Delhi,Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,Royal Challengers Bangalore
2012-05-18,Hyderabad,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers
2012-05-19,Dharamsala,Kings XI Punjab,Delhi Daredevils,Himachal Pradesh Cricket Association Stadium,Delhi Daredevils
2012-05-19,Pune,Pune Warriors,Kolkata Knight Riders,Subrata Roy Sahara Stadium,Kolkata Knight Riders
2012-05-20,Hyderabad,Deccan Chargers,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers
2012-05-20,Jaipur,Rajasthan Royals,Mumbai Indians,Sawai Mansingh Stadium,Mumbai Indians
2012-05-22,Pune,Delhi Daredevils,Kolkata Knight Riders,Subrata Roy Sahara Stadium,Kolkata Knight Riders
2012-05-23,Bangalore,Chennai Super Kings,Mumbai Indians,M Chinnaswamy Stadium,Chennai Super Kings
2012-05-25,Chennai,Delhi Daredevils,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
2012-05-27,Chennai,Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Kolkata Knight Riders
2013-04-03,Kolkata,Kolkata Knight Riders,Delhi Daredevils,Eden Gardens,Kolkata Knight Riders
2013-04-04,Bangalore,Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium,Royal Challengers Bangalore
2013-04-05,Hyderabad,Sunrisers Hyderabad,Pune Warriors,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad
2013-04-06,Delhi,Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla,Rajasthan Royals
2013-04-06,Chennai,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Mumbai Indians
2013-04-07,Pune,Pune Warriors,Kings XI Punjab,Subrata Roy Sahara Stadium,Kings XI Punjab
2013-04-07,Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",No Result
2013-04-08,Jaipur,Rajasthan Royals,Kolkata Knight Riders,Sawai Mansingh Stadium,Rajasthan Royals
2013-04-09,Mumbai,Mumbai Indians,Delhi Daredevils,Wankhede Stadium,Mumbai Indians
2013-04-10,Chandigarh,Kings XI Punjab,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings
2013-04-11,Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,Royal Challengers Bangalore
2013-04-11,Pune,Pune Warriors,Rajasthan Royals,Subrata Roy Sahara Stadium,Pune Warriors
2013-04-12,Delhi,Delhi Daredevils,Sunrisers Hyderabad,Feroz Shah Kotla,Sunrisers Hyderabad
2013-04-13,Mumbai,Mumbai Indians,Pune Warriors,Wankhede Stadium,Mumbai Indians
2013-04-13,Chennai,Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
2013-04-14,Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,Kolkata Knight Riders
2013-04-14,Jaipur,Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium,Rajasthan Royals
2013-04-15,Chennai,Chennai Super Kings,Pune Warriors,"MA Chidambaram Stadium, Chepauk",Pune Warriors
2013-04-16,Chandigarh,Kings XI Punjab,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
2013-04-16,Bangalore,Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,No Result
2013-04-17,Pune,Pune Warriors,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,Sunrisers Hyderabad
2013-04-17,Jaipur,Rajasthan Royals,Mumbai Indians,Sawai Mansingh Stadium,Rajasthan Royals
2013-04-18,Delhi,Delhi Daredevils,Chennai Super Kings,Feroz Shah Kotla,Chennai Super Kings
2013-04-19,Hyderabad,Sunrisers Hyderabad,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad
2013-04-20,Kolkata,Kolkata Knight Riders,Chennai Super Kings,Eden Gardens,Chennai Super Kings
2013-04-20,Bangalore,Royal Challengers Bangalore,Rajasthan Royals,M Chinnaswamy Stadium,Royal Challengers Bangalore
2013-04-21,Delhi,Delhi Daredevils,Mumbai Indians,Feroz Shah Kotla,Delhi Daredevils
2013-04-21,Chandigarh,Kings XI Punjab,Pune Warriors,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
2013-04-22,Chennai,Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
2013-04-23,Bangalore,Royal Challengers Bangalore,Pune Warriors,M Chinnaswamy Stadium,Royal Challengers Bangalore
2013-05-16,Dharamsala,Kings XI Punjab,Delhi Daredevils,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab
2013-04-24,Kolkata,Kolkata Knight Riders,Mumbai Indians,Eden Gardens,Mumbai Indians
2013-04-25,Chennai,Chennai Super Kings,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
2013-04-26,Kolkata,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Kolkata Knight Riders
2013-04-27,Jaipur,Rajasthan Royals,Sunrisers Hyderabad,Sawai Mansingh Stadium,Rajasthan Royals
2013-04-27,Mumbai,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,Mumbai Indians
2013-04-28,Chennai,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
2013-04-28,Raipur,Delhi Daredevils,Pune Warriors,Shaheed Veer Narayan Singh International Stadium,Delhi Daredevils
2013-04-29,Jaipur,Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,Rajasthan Royals
2013-04-29,Mumbai,Mumbai Indians,Kings XI Punjab,Wankhede Stadium,Mumbai Indians
2013-04-30,Pune,Pune Warriors,Chennai Super Kings,Subrata Roy Sahara Stadium,Chennai Super Kings
2013-05-01,Hyderabad,Sunrisers Hyderabad,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad
2013-05-01,Raipur,Delhi Daredevils,Kolkata Knight Riders,Shaheed Veer Narayan Singh International Stadium,Delhi Daredevils
2013-05-02,Chennai,Chennai Super Kings,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
2013-05-02,Pune,Pune Warriors,Royal Challengers Bangalore,Subrata Roy Sahara Stadium,Royal Challengers Bangalore
2013-05-03,Kolkata,Kolkata Knight Riders,Rajasthan Royals,Eden Gardens,Kolkata Knight Riders
2013-05-04,Hyderabad,Sunrisers Hyderabad,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad
2013-05-14,Bangalore,Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,Kings XI Punjab
2013-05-05,Mumbai,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,Mumbai Indians
2013-05-05,Jaipur,Rajasthan Royals,Pune Warriors,Sawai Mansingh Stadium,Rajasthan Royals
2013-04-09,Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,M Chinnaswamy Stadium,Royal Challengers Bangalore
2013-05-07,Jaipur,Rajasthan Royals,Delhi Daredevils,Sawai Mansingh Stadium,Rajasthan Royals
2013-05-07,Mumbai,Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,Mumbai Indians
2013-05-08,Hyderabad,Sunrisers Hyderabad,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal",Chennai Super Kings
2013-05-09,Chandigarh,Kings XI Punjab,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Rajasthan Royals
2013-05-09,Pune,Pune Warriors,Kolkata Knight Riders,Subrata Roy Sahara Stadium,Kolkata Knight Riders
2013-05-10,Delhi,Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,Royal Challengers Bangalore
2013-05-11,Pune,Pune Warriors,Mumbai Indians,Subrata Roy Sahara Stadium,Mumbai Indians
2013-05-11,Chandigarh,Kings XI Punjab,Sunrisers Hyderabad,"Punjab Cricket Association Stadium, Mohali",Sunrisers Hyderabad
2013-05-12,Ranchi,Kolkata Knight Riders,Royal Challengers Bangalore,JSCA International Stadium Complex,Kolkata Knight Riders
2013-05-12,Jaipur,Rajasthan Royals,Chennai Super Kings,Sawai Mansingh Stadium,Rajasthan Royals
2013-04-23,Delhi,Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,Kings XI Punjab
2013-05-13,Mumbai,Mumbai Indians,Sunrisers Hyderabad,Wankhede Stadium,Mumbai Indians
2013-05-15,Ranchi,Kolkata Knight Riders,Pune Warriors,JSCA International Stadium Complex,Pune Warriors
2013-05-14,Chennai,Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
2013-05-15,Mumbai,Mumbai Indians,Rajasthan Royals,Wankhede Stadium,Mumbai Indians
2013-05-06,Chandigarh,Kings XI Punjab,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
2013-05-17,Hyderabad,Sunrisers Hyderabad,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad
2013-05-18,Dharamsala,Kings XI Punjab,Mumbai Indians,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab
2013-05-19,Pune,Pune Warriors,Delhi Daredevils,Subrata Roy Sahara Stadium,Pune Warriors
2013-05-18,Bangalore,Royal Challengers Bangalore,Chennai Super Kings,M Chinnaswamy Stadium,Royal Challengers Bangalore
2013-05-19,Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad
2013-05-21,Delhi,Chennai Super Kings,Mumbai Indians,Feroz Shah Kotla,Chennai Super Kings
2013-05-22,Delhi,Rajasthan Royals,Sunrisers Hyderabad,Feroz Shah Kotla,Rajasthan Royals
2013-05-24,Kolkata,Mumbai Indians,Rajasthan Royals,Eden Gardens,Mumbai Indians
2013-05-26,Kolkata,Chennai Super Kings,Mumbai Indians,Eden Gardens,Mumbai Indians
2014-04-16,Abu Dhabi,Mumbai Indians,Kolkata Knight Riders,Sheikh Zayed Stadium,Kolkata Knight Riders
2014-04-17,,Delhi Daredevils,Royal Challengers Bangalore,Sharjah Cricket Stadium,Royal Challengers Bangalore
2014-04-18,Abu Dhabi,Chennai Super Kings,Kings XI Punjab,Sheikh Zayed Stadium,Kings XI Punjab
2014-04-18,Abu Dhabi,Sunrisers Hyderabad,Rajasthan Royals,Sheikh Zayed Stadium,Rajasthan Royals
2014-04-19,,Royal Challengers Bangalore,Mumbai Indians,Dubai International Cricket Stadium,Royal Challengers Bangalore
2014-04-19,,Kolkata Knight Riders,Delhi Daredevils,Dubai International Cricket Stadium,Delhi Daredevils
2014-04-20,,Rajasthan Royals,Kings XI Punjab,Sharjah Cricket Stadium,Kings XI Punjab
2014-04-21,Abu Dhabi,Chennai Super Kings,Delhi Daredevils,Sheikh Zayed Stadium,Chennai Super Kings
2014-04-22,,Kings XI Punjab,Sunrisers Hyderabad,Sharjah Cricket Stadium,Kings XI Punjab
2014-04-23,,Rajasthan Royals,Chennai Super Kings,Dubai International Cricket Stadium,Chennai Super Kings
2014-04-24,,Royal Challengers Bangalore,Kolkata Knight Riders,Sharjah Cricket Stadium,Kolkata Knight Riders
2014-04-25,,Sunrisers Hyderabad,Delhi Daredevils,Dubai International Cricket Stadium,Sunrisers Hyderabad
2014-04-25,,Chennai Super Kings,Mumbai Indians,Dubai International Cricket Stadium,Chennai Super Kings
2014-04-26,Abu Dhabi,Rajasthan Royals,Royal Challengers Bangalore,Sheikh Zayed Stadium,Rajasthan Royals
2014-04-26,Abu Dhabi,Kolkata Knight Riders,Kings XI Punjab,Sheikh Zayed Stadium,Kings XI Punjab
2014-04-27,,Delhi Daredevils,Mumbai Indians,Sharjah Cricket Stadium,Delhi Daredevils
2014-04-27,,Sunrisers Hyderabad,Chennai Super Kings,Sharjah Cricket Stadium,Chennai Super Kings
2014-04-28,,Kings XI Punjab,Royal Challengers Bangalore,Dubai International Cricket Stadium,Kings XI Punjab
2014-04-29,Abu Dhabi,Kolkata Knight Riders,Rajasthan Royals,Sheikh Zayed Stadium,No Result
2014-04-30,,Mumbai Indians,Sunrisers Hyderabad,Dubai International Cricket Stadium,Sunrisers Hyderabad
2014-05-02,Ranchi,Chennai Super Kings,Kolkata Knight Riders,JSCA International Stadium Complex,Chennai Super Kings
2014-05-03,Mumbai,Mumbai Indians,Kings XI Punjab,Wankhede Stadium,Mumbai Indians
2014-05-03,Delhi,Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla,Rajasthan Royals
2014-05-04,Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,M Chinnaswamy Stadium,Royal Challengers Bangalore
2014-05-05,Ahmedabad,Rajasthan Royals,Kolkata Knight Riders,"Sardar Patel Stadium, Motera",Rajasthan Royals
2014-05-05,Delhi,Delhi Daredevils,Chennai Super Kings,Feroz Shah Kotla,Chennai Super Kings
2014-05-06,Mumbai,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,Mumbai Indians
2014-05-07,Delhi,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,Kolkata Knight Riders
2014-05-07,Cuttack,Kings XI Punjab,Chennai Super Kings,Barabati Stadium,Kings XI Punjab
2014-05-08,Ahmedabad,Rajasthan Royals,Sunrisers Hyderabad,"Sardar Patel Stadium, Motera",Sunrisers Hyderabad
2014-05-09,Bangalore,Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,Kings XI Punjab
2014-05-10,Delhi,Delhi Daredevils,Sunrisers Hyderabad,Feroz Shah Kotla,Sunrisers Hyderabad
2014-05-10,Mumbai,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,Chennai Super Kings
2014-05-11,Cuttack,Kings XI Punjab,Kolkata Knight Riders,Barabati Stadium,Kolkata Knight Riders
2014-05-11,Bangalore,Royal Challengers Bangalore,Rajasthan Royals,M Chinnaswamy Stadium,Rajasthan Royals
2014-05-12,Hyderabad,Sunrisers Hyderabad,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians
2014-05-13,Ranchi,Chennai Super Kings,Rajasthan Royals,JSCA International Stadium Complex,Chennai Super Kings
2014-05-13,Bangalore,Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,Royal Challengers Bangalore
2014-05-14,Hyderabad,Sunrisers Hyderabad,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",Kings XI Punjab
2014-05-14,Cuttack,Kolkata Knight Riders,Mumbai Indians,Barabati Stadium,Kolkata Knight Riders
2014-05-15,Ahmedabad,Rajasthan Royals,Delhi Daredevils,"Sardar Patel Stadium, Motera",Rajasthan Royals
2014-05-18,Ranchi,Chennai Super Kings,Royal Challengers Bangalore,JSCA International Stadium Complex,Royal Challengers Bangalore
2014-05-18,Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders
2014-05-19,Ahmedabad,Rajasthan Royals,Mumbai Indians,"Sardar Patel Stadium, Motera",Mumbai Indians
2014-05-19,Delhi,Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,Kings XI Punjab
2014-05-20,Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad
2014-05-20,Kolkata,Kolkata Knight Riders,Chennai Super Kings,Eden Gardens,Kolkata Knight Riders
2014-05-21,Chandigarh,Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians
2014-05-22,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,Kolkata Knight Riders
2014-05-22,Ranchi,Chennai Super Kings,Sunrisers Hyderabad,JSCA International Stadium Complex,Sunrisers Hyderabad
2014-05-23,Mumbai,Mumbai Indians,Delhi Daredevils,Wankhede Stadium,Mumbai Indians
2014-05-23,Chandigarh,Kings XI Punjab,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
2014-05-24,Bangalore,Royal Challengers Bangalore,Chennai Super Kings,M Chinnaswamy Stadium,Chennai Super Kings
2014-05-24,Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,Kolkata Knight Riders
2014-05-25,Chandigarh,Kings XI Punjab,Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
2014-05-25,Mumbai,Mumbai Indians,Rajasthan Royals,Wankhede Stadium,Mumbai Indians
2014-05-27,Kolkata,Kings XI Punjab,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders
2014-05-28,Mumbai,Chennai Super Kings,Mumbai Indians,Brabourne Stadium,Chennai Super Kings
2014-05-30,Mumbai,Chennai Super Kings,Kings XI Punjab,Wankhede Stadium,Kings XI Punjab
2014-06-01,Bangalore,Kolkata Knight Riders,Kings XI Punjab,M Chinnaswamy Stadium,Kolkata Knight Riders
2015-04-08,Kolkata,Kolkata Knight Riders,Mumbai Indians,Eden Gardens,Kolkata Knight Riders
2015-04-09,Chennai,Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
2015-04-10,Pune,Kings XI Punjab,Rajasthan Royals,Maharashtra Cricket Association Stadium,Rajasthan Royals
2015-04-11,Chennai,Chennai Super Kings,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
